Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
218,Leg Pull-In,"The reverse crunch is a popular exercise targeting the abdominals, particularly the lower half. Itâs easy to perform on either the floor or a flat bench. Many lifters think of this as a companion to the crunch, which targets the upper abdominals more than the lower.",Strength,Abdominals,Body Only,Beginner,7.4,Average
228,Cross Crunch,,Strength,Abdominals,Body Only,Beginner,0.0,Average
229,Full Moon,,Strength,Abdominals,Body Only,Beginner,0.0,
230,Hanging knee raise with manual resistance,"The hanging knee raise with manual resistance is a more advanced version of the hanging knee raise that utilizes a partner. The partner applies enough resistance to make the movement more difficult, while still allowing the lifter to perform multiple reps.",Strength,Abdominals,Body Only,Beginner,0.0,
234,Partner lying leg raise with lateral throw down,The partner lying leg raise with lateral throw down is a core exercise in which one partner performs a leg raise while the other partner pushes their legs back down at a lateral angle. The partner performing the exercise has to use core strength and stability to keep their legs from falling to the ground.,Strength,Abdominals,Body Only,Beginner,0.0,
235,Hanging leg raise with throw down,"The hanging leg raise with throw down is a more advanced version of the hanging knee raise that utilizes a partner to make the movement more difficult. The partner pushes down at the top of each rep, forcing the lifter to ""fight back"" with their abs.",Strength,Abdominals,Body Only,Beginner,0.0,
236,Partner sit-up with high-five,The partner sit-up with high-five is a full-body exercise targeting the core. Partners each perform a sit-up and high-five each other mid rep.,Strength,Abdominals,Body Only,Beginner,0.0,
238,Partner lying leg raise with throw down,The partner lying leg raise with throw down is a core exercise in which one partner performs a leg raise while the other partner pushes their legs back down. The partner performing the exercise has to use core strength and stability to keep their legs from falling to the ground.,Strength,Abdominals,Body Only,Beginner,0.0,
241,Partner target sit-up,"The partner target sit-up is a core exercise where one partner performs sit-ups, while the other uses his or her hands to create a target for them to reach for. This increases the challenge of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Beginner,0.0,
242,Suspended Crunch,,Strength,Abdominals,Body Only,Beginner,0.0,Average
622,Partner front Russian twist and pass,"The partner front Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Beginner,0.0,Average
625,Partner side Russian twist and pass,"The partner side Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It primarily targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Beginner,0.0,
643,Weighted Ball Side Bend,,Strength,Abdominals,Exercise Ball,Beginner,6.4,Average
662,Band Hip Adductions,,Strength,Adductors,Bands,Beginner,8.6,Average
666,Adductor SMR,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",Stretching,Adductors,Foam Roll,Beginner,4.0,Average
667,Lying Bent Leg Groin,,Stretching,Adductors,Other,Beginner,2.8,Average
671,Standing Hip Circles,,Stretching,Abductors,Body Only,Beginner,8.8,Average
672,Groiners,,Stretching,Adductors,Body Only,Beginner,8.8,Average
673,Fire Hydrant,,Strength,Abductors,Body Only,Beginner,8.0,Average
675,Side Leg Raises,,Stretching,Adductors,Body Only,Beginner,7.7,Average
680,Single-leg lying cross-over stretch,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.",Stretching,Abductors,Body Only,Beginner,1.6,Average
698,Groin and Back Stretch,,Stretching,Adductors,,Beginner,7.1,Average
699,Adductor/Groin,,Stretching,Adductors,,Beginner,3.6,Average
704,Brachialis SMR,"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.",Stretching,Biceps,Foam Roll,Beginner,3.2,Average
705,Wide-grip barbell curl,"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,9.3,Average
708,Close-grip EZ-bar curl,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,8.9,Average
710,Barbell Curls Lying Against An Incline,,Strength,Biceps,Barbell,Beginner,8.8,Average
711,Seated Close-Grip Concentration Barbell Curl,,Strength,Biceps,Barbell,Beginner,8.8,Average
712,Close-grip barbell curl,"The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,8.6,Average
713,Drag curl,"The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout.",Strength,Biceps,Barbell,Beginner,8.5,Average
715,Lying High Bench Barbell Curl,,Strength,Biceps,Barbell,Beginner,5.8,Average
716,Seated wide-grip curl to close-grip curl,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. It is thought that wide-grip curls target the inner head of the biceps more, while close-grip curls target the outer head or peak. This variation allows you to get the benefits of both.",Strength,Biceps,Barbell,Beginner,0.0,
717,Seated Straigh-Bar Curl Superset,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. The variation is that the range of motion changes in alternating fashionâone more traditional, one where youâre bringing the weight in more from the side.",Strength,Biceps,Barbell,Beginner,0.0,
731,Incline Hammer Curls,,Strength,Biceps,Dumbbell,Beginner,9.5,Average
733,Biceps curl to shoulder press,"The biceps curl to shoulder press is a dumbbell complex that combines two exercises that build and strengthen the biceps and shoulders or deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit two crucial upper-body muscles in any workout.",Strength,Biceps,Dumbbell,Beginner,9.1,Average
735,Flexor Incline Dumbbell Curls,,Strength,Biceps,Dumbbell,Beginner,9.0,Average
737,Cross-body hammer curl,"The cross-body hammer curl is a dumbbell exercise that targets the biceps, brachialis, and forearm muscles. Rather than lifting the weights directly in front of the body, you lift them across the torso. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. This helps isolate the brachialis muscles on each arm. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Biceps,Dumbbell,Beginner,8.9,Average
741,Standing concentration curl,"The standing concentration curl is a variation on the more common seated concentration curl, which is a staple of bodybuilding arm routines. It can serve as a substitute for preacher curl variations if a preacher bench is unavailable and is also a classic way to focus in on the biceps peak. It is usually performed for moderate to high reps, such as 8-10 reps per set, with a focus on strict form and controlled tempo.",Strength,Biceps,Dumbbell,Beginner,8.7,Average
745,Preacher Hammer Dumbbell Curl,,Strength,Biceps,Dumbbell,Beginner,8.6,Average
747,Lying Supine Dumbbell Curl,,Strength,Biceps,Dumbbell,Beginner,8.3,Average
748,Standing Dumbbell Reverse Curl,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can performed standing or seated.",Strength,Biceps,Dumbbell,Beginner,8.1,Average
749,Palms-out incline biceps curl,"The palms-out incline biceps curl is an exercise targeting the biceps. It is largely similar to the incline dumbbell curl, but the palms-out position targets the long head of the biceps, which is responsible for the biceps ""peak."" This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Dumbbell,Beginner,8.0,Average
750,Straight-arm plank with biceps curl,"The straight-arm plank with biceps curl is a hybrid movement that trains the abdominal and biceps muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing an additional cardiovascular challenge.",Strength,Biceps,Dumbbell,Beginner,7.7,Average
751,Face-down incline dumbbell biceps curl,"The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Dumbbell,Beginner,7.6,Average
752,Seated Dumbbell Inner Biceps Curl,,Strength,Biceps,Dumbbell,Beginner,7.4,Average
753,Standing Inner-Biceps Curl,,Strength,Biceps,Dumbbell,Beginner,7.4,Average
810,Reverse Plate Curls,,Strength,Biceps,Other,Beginner,7.2,Average
811,Standing Biceps Stretch,,Stretching,Biceps,Other,Beginner,7.1,Average
812,Suspended Curl,,Strength,Biceps,Other,Beginner,0.0,Average
813,Plate hammer curl,"The plate hammer curl is an exercise that targets the long head of the biceps as well as the brachialis and brachioradialis muscles. Typically hammer curls are done with dumbbells, but in this case, holding a weight plate places the hands in the same neutral position.",Strength,Biceps,Other,Beginner,0.0,Average
817,Standing One-Arm Cable Curl,The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating.,Strength,Biceps,Cable,Beginner,8.8,Average
818,Reverse Cable Curl,,Strength,Biceps,Cable,Beginner,8.7,Average
821,Lying cable biceps curl,"The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a bench or the ground, with the feet facing toward a cable stack. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.",Strength,Biceps,Cable,Beginner,8.2,Average
822,Cable rope preacher hammer curl,"The cable rope preacher hammer curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack, a preacher bench, and a rope grip. The neutral or ""hammer"" grip amplifies activation of both the grip and the brachialis muscles, building arm thickness. The angle of the bench also effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.",Strength,Biceps,Cable,Beginner,7.5,Average
823,Lying Close-Grip Bar Curl On High Pulley,The lying high-cable biceps curl is an unusual move for building the bicepsâbut itâs a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.,Strength,Biceps,Cable,Beginner,7.1,Average
846,Machine Bicep Curl,,Strength,Biceps,Machine,Beginner,9.0,Average
847,Machine Preacher Curls,The machine preacher curl is an isolation exercise targeting the biceps.,Strength,Biceps,Machine,Beginner,8.3,Average
852,Seated Biceps,,Stretching,Biceps,Body Only,Beginner,5.0,Average
859,Reverse Barbell Preacher Curls,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.",Strength,Biceps,E-Z Curl Bar,Beginner,8.8,Average
860,Close-Grip EZ-Bar Curl with Band,,Strength,Biceps,E-Z Curl Bar,Beginner,7.9,Average
868,Calf Raises - With Bands,,Strength,Calves,Bands,Beginner,4.8,Average
871,Calf SMR,"Calf self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the calf muscles of the lower leg, some people find they can cause this often painful and tight muscle to relax or ""release."" Calf SMR is often accompanied by SMR on the quadriceps muscles, or by stretches that target the calves.",Stretching,Calves,Foam Roll,Beginner,6.0,Average
872,Rocking Standing Calf Raise,,Strength,Calves,Barbell,Beginner,8.7,Average
873,Standing barbell calf raise,"The standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. It can be performed for time or for reps, either using a barbell or Smith machine bar if balance is a problem.",Strength,Calves,Barbell,Beginner,8.2,Average
874,Barbell Seated Calf Raise,,Strength,Calves,Barbell,Beginner,7.6,Average
876,Calf Raise On A Dumbbell,,Strength,Calves,Dumbbell,Beginner,4.8,Average
880,Balance Board,,Strength,Calves,Other,Beginner,7.5,Average
882,Anterior Tibialis-SMR,,Stretching,Calves,Other,Beginner,5.3,Average
883,Foot-SMR,,Stretching,Calves,Other,Beginner,2.7,Average
887,Standing Calf Raises,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,9.0,Average
890,Calf Press,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Machine,Beginner,8.5,Average
891,Smith Machine Reverse Calf Raises,,Strength,Calves,Machine,Beginner,7.3,Average
905,Knee Circles,,Stretching,Calves,Body Only,Beginner,6.3,Average
912,Ankle Circles,,Stretching,Calves,,Beginner,7.2,Average
913,Calf Stretch Elbows Against Wall,,Stretching,Calves,,Beginner,4.9,Average
914,Standing Soleus And Achilles Stretch,,Stretching,Calves,,Beginner,4.2,Average
915,Cross Over - With Bands,,Strength,Chest,Bands,Beginner,8.3,Average
916,Bench Press - With Bands,,Strength,Chest,Bands,Beginner,5.5,Average
917,Bench Press With Short Bands,,Powerlifting,Chest,Bands,Beginner,0.0,
918,Feet-Elevated TRX Push-Up,,Strength,Chest,Bands,Beginner,0.0,
930,Wide-grip bench press,"The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.",Strength,Chest,Barbell,Beginner,8.9,Average
931,Wide-Grip Decline Barbell Bench Press,,Strength,Chest,Barbell,Beginner,8.9,Average
933,Neck Press,,Strength,Chest,Barbell,Beginner,8.8,Average
934,Front Raise And Pullover,,Strength,Chest,Barbell,Beginner,8.3,Average
936,Barbell Bench Press-Wide Grip,"The wide-grip bench pressis a compound exercise targeting the chest, primarily. The main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar.",Strength,Chest,Barbell,Beginner,7.6,Average
937,Wide-Grip Decline Barbell Pullover,,Strength,Chest,Barbell,Beginner,7.3,Average
938,Barbell Guillotine Bench Press,,Strength,Chest,Barbell,Beginner,6.7,Average
954,Extended Range One-Arm Kettlebell Floor Press,,Strength,Chest,Kettlebells,Beginner,6.3,Average
955,Kettlebell alternating floor press,"The kettlebell alternating floor press limits the range of motion you would achieve with a dumbbell or kettlebell bench press, but still targets the chest, triceps, and anterior delts. This allows you to build strength in the top portion of the lift, overload the triceps, and work on strengthening the shoulder stabilizers.",Strength,Chest,Kettlebells,Beginner,6.0,Average
956,One-Arm Kettlebell Floor Press,,Strength,Chest,Kettlebells,Beginner,0.0,
957,Leg-Over Floor Press,,Strength,Chest,Kettlebells,Beginner,0.0,
962,Hands-elevated push-up,"The hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or as a mechanical dropset after maxing out on floor push-ups.",Strength,Chest,Body Only,Beginner,8.7,Average
964,Single-Arm Push-Up,,Strength,Chest,Body Only,Beginner,8.6,Average
966,Wide-grip hands-elevated push-up,"The wide-grip hands-elevated push-up is a variation on the elevated push-up performed with the hands farther apart than with a standard push-up. Having the hands higher than the feet makes it easier than wide-grip push-ups on the floor, but the extra width also puts more emphasis on the chest muscles. It can be used as a substitute for wide-grip floor push-ups, or as a mechanical dropset after maxing out on floor push-ups.",Strength,Chest,Body Only,Beginner,8.5,Average
969,Isometric Wipers,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Strength,Chest,Body Only,Beginner,8.4,Average
970,Clock push-up,"The clock push-up is a series of regular push-ups performed one at a time, moving your hands one step to the side between each one until you've completed a full circle. It targets the same muscles as traditional push-ups, such as the chest, triceps, and shoulders, but adds an endurance and core challenge to traditional push-ups.",Strength,Chest,Body Only,Beginner,8.4,Average
972,Push-Up Wide,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",Strength,Chest,Body Only,Beginner,8.3,Average
974,Close-Hands Push-Up,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",Strength,Chest,Body Only,Beginner,7.8,Average
975,Tiger-bend push-up,The tiger-bend push-up is an advanced push-up variation where you shift onto your forearms at the bottom position and then back onto your hands and up again. It targets the triceps far more than regular push-ups.,Strength,Chest,Body Only,Beginner,7.6,Average
976,Plyo push-up,"The plyo push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Plyometrics,Chest,Body Only,Beginner,7.5,Average
980,Isometric Chest Squeezes,,Plyometrics,Chest,Body Only,Beginner,7.1,Average
981,Side-to-side push-up,The side-to-side push-up is a variation of the push-up exercise where you side-step the opposite hand and foot and perform a push-up.,Strength,Chest,Body Only,Beginner,6.7,Average
982,Typewriter push-up,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Strength,Chest,Body Only,Beginner,0.0,
984,Judo push-up,"The judo push-up is an advanced push-up variation that blends elements of the yoga poses downward- and upward-facing dog. This movement increases the demands on the shoulders, but also has mobility benefits. It can work in a dynamic warm-up or mobility-focused workout, but also in bodyweight strength training.",Strength,Chest,Body Only,Beginner,0.0,
985,Superman Push-Up,,Plyometrics,Chest,Body Only,Beginner,0.0,
986,Wide push-up,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",Strength,Chest,Body Only,Beginner,0.0,
987,One-Arm Push-Up,,Strength,Chest,Body Only,Beginner,0.0,
988,Clapping Push-Up,"Also known as a plyo push-up, the clapping push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Plyometrics,Chest,Body Only,Beginner,0.0,
989,Staggered push-up,"The staggered push-up is a variation of the push-up exercise where your hand position is staggered, with one hand forward and one back. It targets the same muscles as a traditional push-up, including the chest, triceps, and shoulders, but is more difficult to the rear arm and core.",Strength,Chest,Body Only,Beginner,0.0,Average
990,Reverse-grip hands-elevated push-up,"The reverse-grip hands-elevated push-up is a bodyweight exercise performed on a Smith machine or other elevated surface. It targets the chest, triceps, and shoulders. It can work as a regression of floor reverse-grip push-ups, or in a progressive mechanical dropset moving the bar up once you reach failure at a lower height.",Strength,Chest,Body Only,Beginner,0.0,Average
991,Triple Clap Push-Up,,Plyometrics,Chest,Body Only,Beginner,0.0,
1048,Leverage Incline Chest Press,,Strength,Chest,Machine,Beginner,8.6,Average
1050,Leverage Chest Press,The machine chest press is an upper body exercise targeting the pectoral muscles.,Strength,Chest,Machine,Beginner,8.5,Average
1051,Decline Smith Press,"The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body workout.",Strength,Chest,Machine,Beginner,8.4,Average
1053,Leverage Decline Chest Press,,Strength,Chest,Machine,Beginner,8.3,Average
1057,Smith Machine Decline Press,"The Smith machine decline bench press is a machine-based exercise targeting the chest muscles, particularly the lower pectoral muscles. The Smith machine mimics a barbell but provides more stability. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body workout.",Strength,Chest,Machine,Beginner,7.3,Average
1058,Smith machine bench press throw,The Smith machine bench press throw is an exercise that helps develop pushing power that carries over to the traditional bench press. It involves pushing a relatively light weight (such as 30-50 percent of your 1RM) explosively and actually letting go at the top of the rep. It can work as power or speed-style training in a strength or athleticism-focused workout plan.,Strength,Chest,Machine,Beginner,0.0,
1076,Incline cable chest press,"The incline cable chest press is a pressing movement that uses a cable stack and an incline bench to target the upper portion of the pectoral muscles, similar to an incline dumbbell press. It is common in upper-body and chest-focused muscle-building workouts, where it can be effective as a primary movement in classic hypertrophy rep ranges, as a pre-exhaust, or as a high-rep finisher. It is often used in combination with other presses or flyes to target the chest from different angles.",Strength,Chest,Cable,Beginner,8.7,Average
1077,Cable Chest Press,,Strength,Chest,Cable,Beginner,8.7,Average
1079,Cable cross-over,"The cable cross-over is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles. Since it's done using adjustable pulleys, you can target different parts of your chest by setting the pulleys at different levels. It is common in upper-body and chest-focused muscle-building workouts, often as a pre-exhaust at the beginning of a workout or a finishing movement at the end. It is often used in combination with other presses or flyes to target the chest from different angles.",Strength,Chest,Cable,Beginner,8.4,Average
1080,Standing Cable Chest Press,,Strength,Chest,Cable,Beginner,8.2,Average
1098,Chest Push (multiple response),,Plyometrics,Chest,Medicine Ball,Beginner,8.3,Average
1102,Chest Push (single response),,Plyometrics,Chest,Medicine Ball,Beginner,0.0,
1103,Chest Push with Run Release,,Plyometrics,Chest,Medicine Ball,Beginner,0.0,
1104,Chest Push from 3 point stance,,Plyometrics,Chest,Medicine Ball,Beginner,0.0,
1109,Reverse-grip incline dumbbell bench press,"The reverse-grip incline dumbbell bench press is an upper-body exercise targeting the pectoral muscles. Pressing with a reverse grip targets the upper chest in particular, especially when performed on an incline. This press variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Dumbbell,Beginner,8.9,Average
1114,Hammer Grip Incline DB Bench Press,,Strength,Chest,Dumbbell,Beginner,8.5,Average
1116,Incline Dumbbell Bench With Palms Facing In,,Strength,Chest,Dumbbell,Beginner,8.4,Average
1117,Incline Dumbbell Flyes - With A Twist,,Strength,Chest,Dumbbell,Beginner,8.3,Average
1121,One-Arm Flat Bench Dumbbell Flye,,Strength,Chest,Dumbbell,Beginner,6.5,Average
1155,Bodyweight Flyes,"The double-bar roll-out chest fly is a chest exercise that utilizes two rotating barbells as ""handles"" for a chest fly. It targets the muscles of the chest, but is also an intense core workout. It's a tough movement that is usually performed in the chest-focused portion of a workout.",Strength,Chest,E-Z Curl Bar,Beginner,9.0,Average
1158,Drop Push,,Plyometrics,Chest,Other,Beginner,8.8,Average
1159,Forward Drag with Press,,Strongman,Chest,Other,Beginner,6.0,Average
1160,Chain Press,,Powerlifting,Chest,Other,Beginner,5.6,Average
1161,Behind Head Chest Stretch,,Stretching,Chest,Other,Beginner,4.9,Average
1162,Pass-through stretch with band,The pass-through stretch with band is a popular move to build and maintain mobility in the shoulder joint and to strengthen the muscles of the upper back and rotator cuff. It is common in CrossFit and Olympic lifting training and is usually performed as part of a warm-up or paired with movements in a workout. It can also be performed with a PVC pipe or dowel if a band isn't available.,Stretching,Chest,Other,Beginner,3.0,Average
1164,Heavy Bag Thrust,,Plyometrics,Chest,Other,Beginner,0.0,Average
1165,Decline Explosive Push-Up,,Plyometrics,Chest,Other,Beginner,0.0,
1166,Suspended Chest Fly,,Strength,Chest,Other,Beginner,0.0,
1167,Svend press,The Svend press is an exercise where the chest is targeted by performing presses while squeezing two weight plates together. It is usually performed for relatively high reps with light weights as an accessory movement to the bench press or as a burnout movement on chest day.,Strength,Chest,Other,Beginner,0.0,
1168,Bar Push-Up Smith Machine,"The hands-elevated push-up is a variation on the push-up, a body-weight standard. The hands are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Plyometrics,Chest,Other,Beginner,0.0,
1174,Exercise ball chest stretch,"The exercise ball chest stretch is a simple stretch for the pectoral muscles that can be made more dynamic with help from a medicine ball. It can work in a dynamic warm-up, paired with movements in a workout, or as part of a cool-down or recovery strategy. If the stretch causes pain in the front of your shoulder, dial back the intensity or choose another chest stretch.",Stretching,Chest,Exercise Ball,Beginner,3.6,Average
1175,Bosu Ball Push-Up,,Strength,Chest,Exercise Ball,Beginner,0.0,Average
1181,Standing behind-the-back wrist curl,"The standing behind-the-back wrist curl is a popular exercise to target the muscles in the forearms, wrists, and fingers. It is generally performed for moderate to high reps, such as 8-15 reps per set, and can work as isolated forearm training or as part of an arms-focused workout.",Strength,Forearms,Barbell,Beginner,9.3,Average
1182,Seated finger curl,"The seated finger curl is an exercise targeting the muscles of the hands and forearms. It is popular with rock climbers and other athletes looking to build forearm size and strength. The range of motion is tiny, but done for moderate to high reps, these will definitely make the forearms burn.",Strength,Forearms,Barbell,Beginner,9.3,Average
1184,Bottoms-Up Clean From The Hang Position,,Strength,Forearms,Kettlebells,Beginner,8.3,Average
1185,Seated One-Arm Dumbbell Palms-Up Wrist Curl,,Strength,Forearms,Dumbbell,Beginner,9.0,Average
1186,Palms-Up Dumbbell Wrist Curl Over A Bench,,Strength,Forearms,Dumbbell,Beginner,8.6,Average
